,text,sen_afinn,sen_nrc,sen_bing,theme
0,The belt from WiseWear is just one example of health and fitness wearables presented at the Digital Health Summit ,1.0,fear,,wisewear
1,"Fitness technology and wearables are racing forward with advances in sensor technology, smart fabrics, cloud computing, flexible membranes",1.0,positive,positive,wearables
2,"Make life easier with LG's range of wearables, this includes Android Wear watches, fitness trackers & other wearable technology.",1.0,positive,positive,wearables
3,"Owned fitness wearables in the Netherlands 2016, by type Published by Statista Research Department, Jan 14, 2016 ",1.0,,,2016
4,Can’t decide between the many smart watches and other fitness wearables on the market?,1.0,,positive,’
5,Fitness tracking and fun go hand-in-hand with these wearables made specially for little movers and shakers.,4.0,anticipation,positive,shakers
6,InVite Health carries select fitness trackers and wearables to monitor your physical fitness activity including heart rate and distance.,1.0,positive,,wearables
7,"Plenty of people with mobility issues want to buy fitness-based wearables, myself included. ",1.0,positive,negative,plenty
8,"Learn how to wrap your arms around the basics of performance testing for wearables, smartwatches, and fitness trackers on the Neotys blog.",1.0,,,wrap
9,"Wearable fitness devices are all the rage these days, and Microsoft has been making deals to ensure its place in the market.",1.0,negative,negative,rage
10,"Fitness and Wellness Applications Fitness and wellness wearables help individuals monitor movement, diet, and sleep .",2.0,,,sleep
11,Sasken delivers smart devices and wearable solution for health and fitness industry. ,1.0,positive,positive,health
12,iTouch Wearables line of affordable smartwatches and affordable fitness trackers includes bluetooth,1.0,,positive,
13,Motivation and User Engagement in Fitness Tracking: Heuristics for Mobile Healthcare Wearables.,,,,motivation
14,"Compare Fitness Trackers, Fitness Bands and Fitness Watches using our Wearables Comparison Tool to choose a device that best suits your needs and budget.",3.0,trust,positive,needs
15,"All wore three fitness wearables — a Fitbit Flex, Jawbone UP24, and Nike Fuelband. Two phones — an iPhone 5S and Galaxy S4",1.0,,,
16,One of the hottest on-the-rise fitness trends over the past two years has been the dramatic increase in the use of “fitness wearables.”,1.0,positive,positive,use
17,"In other words, the VivoWatch is a fitness wearable first, and a smartphone companion second. ",1.0,joy,,words
18,"This trend can be attributed to wearables like fitness bands, which encourage users to track their weight or exercises daily.",2.0,anticipation,positive,weight
19,"Our wearables channel covers personal health & fitness wearable systems, wearable computers, VR headsets, and connected sporting equipment.",1.0,trust,,
